ScientificName2021,CommonName2021,Family2021,ScientificName2023,CommonName2023,Family2023
Nesillas brevicaudata,Grand Comoro Brush-Warbler,Acrocephalidae,Nesillas brevicaudata,Grande Comore Brush-Warbler,Acrocephalidae
Cincloramphus mariei,New Caledonian Grassbird,Locustellidae,Cincloramphus mariae,New Caledonian Grassbird,Locustellidae
Cincloramphus whitneyi,Guadalcanal Thicketbird,Locustellidae,,,
,,,Cincloramphus whitneyi,Santo Thicketbird,Locustellidae
,,,Cincloramphus turipavae,Guadalcanal Thicketbird,Locustellidae
Locustella naevia,Common Grasshopper-Warbler,Locustellidae,Locustella naevia,Common Grasshopper Warbler,Locustellidae
,,,Acrocephalus scirpaceus,Common Reed Warbler,Acrocephalidae
Acrocephalus scirpaceus,Eurasian Reed Warbler,Acrocephalidae,,,
Acrocephalus baeticatus,African Reed Warbler,Acrocephalidae,,,
Rhopophilus pekinensis,Beijing Babbler,Sylviidae,Rhopophilus pekinensis,Beijing Babbler,Paradoxornithidae
Rhopophilus albosuperciliaris,Tarim Babbler,Sylviidae,Rhopophilus albosuperciliaris,Tarim Babbler,Paradoxornithidae
Prinia atrogularis,Black-throated Prinia,Cisticolidae,,,
,,,Prinia atrogularis,Black-throated Prinia,Cisticolidae
,,,Prinia khasiana,Rufous-crowned Prinia,Cisticolidae
,,,Prinia gracilis,Graceful Prinia,Cisticolidae
Prinia gracilis,Graceful Prinia,Cisticolidae,,,
Prinia lepida,Delicate Prinia,Cisticolidae,,,
,,,Prinia lepida,Delicate Prinia,Cisticolidae
Graueria vittata,Grauer's Warbler,Macrosphenidae,Graueria vittata,Grauer's Warbler,Acrocephalidae
Urosphena neumanni,Neumann's Warbler,Scotocercidae,Hemitesia neumanni,Neumann's Warbler,Scotocercidae
Hylia prasina,Green Hylia,Macrosphenidae,Hylia prasina,Green Hylia,Hyliidae
,,,Phylloscopus affinis,Tickell's Leaf Warbler,Phylloscopidae
Phylloscopus affinis,Tickell's Leaf Warbler,Phylloscopidae,,,
Phylloscopus occisinensis,Alpine Leaf Warbler,Phylloscopidae,,,
Phylloscopus trivirgatus,Mountain Leaf Warbler,Phylloscopidae,,,
,,,Phylloscopus trivirgatus,Mountain Leaf Warbler,Phylloscopidae
,,,Phylloscopus nigrorum,Negros Leaf Warbler,Phylloscopidae
Phylloscopus sarasinorum,Sulawesi Leaf Warbler,Phylloscopidae,,,
,,,Phylloscopus sarasinorum,Lompobattang Leaf Warbler,Phylloscopidae
,,,Phylloscopus nesophilus,Sulawesi Leaf Warbler,Phylloscopidae
Pellorneum capistratum,Black-capped Babbler,Pellorneidae,,,
,,,Pellorneum capistratum,Javan Black-capped Babbler,Pellorneidae
,,,Pellorneum nigrocapitatum,Malayan Black-capped Babbler,Pellorneidae
,,,Pellorneum capistratoides,Bornean Black-capped Babbler,Pellorneidae
Illadopsis rufipennis,Pale-breasted Illadopsis,Pellorneidae,,,
,,,Illadopsis rufipennis,Pale-breasted Illadopsis,Pellorneidae
,,,Illadopsis distans,Tanzanian Illadopsis,Pellorneidae
Pomatorhinus montanus,Chestnut-backed Scimitar-Babbler,Timaliidae,,,
,,,Pomatorhinus montanus,Javan Scimitar-Babbler,Timaliidae
,,,Pomatorhinus bornensis,Sunda Scimitar-Babbler,Timaliidae
Pomatorhinus ferruginosus,Coral-billed Scimitar-Babbler,Timaliidae,,,
,,,Pomatorhinus ferruginosus,Black-crowned Scimitar-Babbler,Timaliidae
,,,Pomatorhinus phayrei,Brown-crowned Scimitar-Babbler,Timaliidae
,,,Pnoepyga albiventer,Scaly-breasted Cupwing,Pnoepygidae
Pnoepyga albiventer,Scaly-breasted Cupwing,Pnoepygidae,,,
Pnoepyga mutica,Chinese Cupwing,Pnoepygidae,,,
Sterrhoptilus nigrocapitatus,Black-crowned Babbler,Zosteropidae,,,
,,,Sterrhoptilus nigrocapitatus,Visayan Babbler,Zosteropidae
,,,Sterrhoptilus affinis,Calabarzon Babbler,Zosteropidae
Cyanoderma erythropterum,Chestnut-winged Babbler,Timaliidae,,,
,,,Cyanoderma erythropterum,Chestnut-winged Babbler,Timaliidae
,,,Cyanoderma bicolor,Gray-hooded Babbler,Timaliidae
Mixornis flavicollis,Gray-cheeked Tit-Babbler,Timaliidae,,,
,,,Mixornis flavicollis,Gray-cheeked Tit-Babbler,Timaliidae
,,,Mixornis prillwitzi,Kangean Tit-Babbler,Timaliidae
Chrysomma sinense,Yellow-eyed Babbler,Sylviidae,Chrysomma sinense,Yellow-eyed Babbler,Paradoxornithidae
Chrysomma altirostre,Jerdon's Babbler,Sylviidae,Chrysomma altirostre,Jerdon's Babbler,Paradoxornithidae
Moupinia poecilotis,Rufous-tailed Babbler,Sylviidae,Moupinia poecilotis,Rufous-tailed Babbler,Paradoxornithidae
Argya cinereifrons,Ashy-headed Laughingthrush,Leiothrichidae,Argya cinereifrons,Ashy-headed Laughingthrush,Leiothrichidae
,,,Pteruthius aeralatus,White-browed Shrike-Babbler,Vireonidae
Pteruthius aeralatus,Blyth's Shrike-Babbler,Vireonidae,,,
Pteruthius annamensis,Dalat Shrike-Babbler,Vireonidae,,,
Pteruthius ripleyi,Himalayan Shrike-Babbler,Vireonidae,,,
Pteruthius intermedius,Clicking Shrike-Babbler,Vireonidae,Pteruthius intermedius,Clicking Shrike-Babbler,Vireonidae
Actinodura cyanouroptera,Blue-winged Minla,Leiothrichidae,Actinodura cyanouroptera,Blue-winged Minla,Leiothrichidae
Lioparus chrysotis,Golden-breasted Fulvetta,Sylviidae,Lioparus chrysotis,Golden-breasted Fulvetta,Paradoxornithidae
Fulvetta vinipectus,White-browed Fulvetta,Sylviidae,Fulvetta vinipectus,White-browed Fulvetta,Paradoxornithidae
Fulvetta striaticollis,Chinese Fulvetta,Sylviidae,Fulvetta striaticollis,Chinese Fulvetta,Paradoxornithidae
Fulvetta ruficapilla,Spectacled Fulvetta,Sylviidae,Fulvetta ruficapilla,Spectacled Fulvetta,Paradoxornithidae
Fulvetta danisi,Indochinese Fulvetta,Sylviidae,Fulvetta danisi,Indochinese Fulvetta,Paradoxornithidae
Fulvetta cinereiceps,Gray-hooded Fulvetta,Sylviidae,Fulvetta cinereiceps,Gray-hooded Fulvetta,Paradoxornithidae
Fulvetta formosana,Taiwan Fulvetta,Sylviidae,Fulvetta formosana,Taiwan Fulvetta,Paradoxornithidae
Fulvetta manipurensis,Streak-throated Fulvetta,Sylviidae,Fulvetta manipurensis,Manipur Fulvetta,Paradoxornithidae
Fulvetta ludlowi,Brown-throated Fulvetta,Sylviidae,Fulvetta ludlowi,Brown-throated Fulvetta,Paradoxornithidae
Myzornis pyrrhoura,Fire-tailed Myzornis,Sylviidae,Myzornis pyrrhoura,Fire-tailed Myzornis,Paradoxornithidae
Conostoma aemodium,Great Parrotbill,Sylviidae,Conostoma aemodium,Great Parrotbill,Paradoxornithidae
Cholornis paradoxus,Three-toed Parrotbill,Sylviidae,Cholornis paradoxus,Three-toed Parrotbill,Paradoxornithidae
Cholornis unicolor,Brown Parrotbill,Sylviidae,Cholornis unicolor,Brown Parrotbill,Paradoxornithidae
Psittiparus gularis,Gray-headed Parrotbill,Sylviidae,Psittiparus gularis,Gray-headed Parrotbill,Paradoxornithidae
Psittiparus margaritae,Black-headed Parrotbill,Sylviidae,Psittiparus margaritae,Black-headed Parrotbill,Paradoxornithidae
Paradoxornis flavirostris,Black-breasted Parrotbill,Sylviidae,Paradoxornis flavirostris,Black-breasted Parrotbill,Paradoxornithidae
Paradoxornis guttaticollis,Spot-breasted Parrotbill,Sylviidae,Paradoxornis guttaticollis,Spot-breasted Parrotbill,Paradoxornithidae
Sinosuthora conspicillata,Spectacled Parrotbill,Sylviidae,Suthora conspicillata,Spectacled Parrotbill,Paradoxornithidae
Sinosuthora webbiana,Vinous-throated Parrotbill,Sylviidae,Suthora webbiana,Vinous-throated Parrotbill,Paradoxornithidae
Sinosuthora brunnea,Brown-winged Parrotbill,Sylviidae,,,
,,,Suthora brunnea,Brown-winged Parrotbill,Paradoxornithidae
,,,Suthora ricketti,Eye-ringed Parrotbill,Paradoxornithidae
Sinosuthora alphonsiana,Ashy-throated Parrotbill,Sylviidae,Suthora alphonsiana,Ashy-throated Parrotbill,Paradoxornithidae
Sinosuthora zappeyi,Gray-hooded Parrotbill,Sylviidae,Suthora zappeyi,Gray-hooded Parrotbill,Paradoxornithidae
Sinosuthora przewalskii,Rusty-throated Parrotbill,Sylviidae,Suthora przewalskii,Rusty-throated Parrotbill,Paradoxornithidae
Suthora fulvifrons,Fulvous Parrotbill,Sylviidae,Suthora fulvifrons,Fulvous Parrotbill,Paradoxornithidae
Suthora nipalensis,Black-throated Parrotbill,Sylviidae,Suthora nipalensis,Black-throated Parrotbill,Paradoxornithidae
Suthora verreauxi,Golden Parrotbill,Sylviidae,Suthora verreauxi,Golden Parrotbill,Paradoxornithidae
Neosuthora davidiana,Short-tailed Parrotbill,Sylviidae,Suthora davidiana,Short-tailed Parrotbill,Paradoxornithidae
Chleuasicus atrosuperciliaris,Pale-billed Parrotbill,Sylviidae,Suthora atrosuperciliaris,Pale-billed Parrotbill,Paradoxornithidae
Psittiparus ruficeps,White-breasted Parrotbill,Sylviidae,Psittiparus ruficeps,White-breasted Parrotbill,Paradoxornithidae
Psittiparus bakeri,Rufous-headed Parrotbill,Sylviidae,Psittiparus bakeri,Rufous-headed Parrotbill,Paradoxornithidae
Calamornis heudei,Reed Parrotbill,Sylviidae,Calamornis heudei,Reed Parrotbill,Paradoxornithidae
Chamaea fasciata,Wrentit,Sylviidae,Chamaea fasciata,Wrentit,Paradoxornithidae
Mirafra cantillans,Singing Bushlark,Alaudidae,,,
,,,Mirafra javanica,Singing Bushlark,Alaudidae
Mirafra javanica,Australasian Bushlark,Alaudidae,,,
Mirafra cheniana,Latakoo Lark,Alaudidae,Mirafra cheniana,Melodious Lark,Alaudidae
Mirafra africana,Rufous-naped Lark,Alaudidae,,,
,,,Mirafra africana,Rufous-naped Lark,Alaudidae
,,,Mirafra sharpii,Sharpe's Lark,Alaudidae
,,,Calendulauda africanoides,Fawn-colored Lark,Alaudidae
Calendulauda africanoides,Fawn-colored Lark,Alaudidae,,,
Calendulauda alopex,Foxy Lark,Alaudidae,,,
,,,Certhilauda curvirostris,Cape Lark,Alaudidae
Certhilauda curvirostris,Cape Lark,Alaudidae,,,
Certhilauda brevirostris,Agulhas Lark,Alaudidae,,,
,,,Certhilauda subcoronata,Karoo Long-billed Lark,Alaudidae
Certhilauda subcoronata,Karoo Long-billed Lark,Alaudidae,,,
Certhilauda benguelensis,Benguela Lark,Alaudidae,,,
Certhilauda chuana,Short-clawed Lark,Alaudidae,Certhilauda chuana,Short-clawed Lark,Alaudidae
,,,Calendulauda erythrochlamys,Dune Lark,Alaudidae
Calendulauda erythrochlamys,Dune Lark,Alaudidae,,,
Calendulauda barlowi,Barlow's Lark,Alaudidae,,,
,,,Chersomanes albofasciata,Spike-heeled Lark,Alaudidae
Chersomanes albofasciata,Spike-heeled Lark,Alaudidae,,,
Chersomanes beesleyi,Beesley's Lark,Alaudidae,,,
Ammomanopsis grayi,Gray's Lark,Alaudidae,Ammomanopsis grayi,Gray's Lark,Alaudidae
,,,Galerida cristata,Crested Lark,Alaudidae
Galerida cristata,Crested Lark,Alaudidae,,,
Galerida macrorhyncha,Maghreb Lark,Alaudidae,,,
Alauda razae,Razo Skylark,Alaudidae,Alauda razae,Raso Skylark,Alaudidae
Dicaeum anthonyi,Flame-crowned Flowerpecker,Dicaeidae,,,
,,,Dicaeum anthonyi,Yellow-crowned Flowerpecker,Dicaeidae
,,,Dicaeum kampalili,Flame-crowned Flowerpecker,Dicaeidae
Dicaeum ignipectus,Fire-breasted Flowerpecker,Dicaeidae,,,
,,,Dicaeum ignipectus,Fire-breasted Flowerpecker,Dicaeidae
,,,Dicaeum cambodianum,Cambodian Flowerpecker,Dicaeidae
,,,Dicaeum beccarii,Sumatran Flowerpecker,Dicaeidae
,,,Dicaeum luzoniense,Fire-throated Flowerpecker,Dicaeidae
Dicaeum hirundinaceum,Mistletoebird,Dicaeidae,,,
,,,Dicaeum hirundinaceum,Mistletoebird,Dicaeidae
,,,Dicaeum keiense,Pink-breasted Flowerpecker,Dicaeidae
Cinnyris jugularis,Olive-backed Sunbird,Nectariniidae,,,
,,,Cinnyris jugularis,Garden Sunbird,Nectariniidae
,,,Cinnyris ornatus,Ornate Sunbird,Nectariniidae
,,,Cinnyris infrenatus,Tukangbesi Sunbird,Nectariniidae
,,,Cinnyris frenatus,Sahul Sunbird,Nectariniidae
,,,Cinnyris aurora,Palawan Sunbird,Nectariniidae
,,,Cinnyris clementiae,South Moluccan Sunbird,Nectariniidae
,,,Cinnyris idenburgi,Mamberamo Sunbird,Nectariniidae
,,,Cinnyris teysmanni,Flores Sea Sunbird,Nectariniidae
Cinnyris mariquensis,Mariqua Sunbird,Nectariniidae,Cinnyris mariquensis,Marico Sunbird,Nectariniidae
,,,Aethopyga pulcherrima,Metallic-winged Sunbird,Nectariniidae
Aethopyga pulcherrima,Metallic-winged Sunbird,Nectariniidae,,,
Aethopyga jefferyi,Mountain Sunbird,Nectariniidae,,,
Aethopyga decorosa,Bohol Sunbird,Nectariniidae,,,
Arachnothera modesta,Gray-breasted Spiderhunter,Nectariniidae,,,
,,,Arachnothera modesta,Gray-breasted Spiderhunter,Nectariniidae
,,,Arachnothera everetti,Bornean Spiderhunter,Nectariniidae
Arachnothera everetti,Bornean Spiderhunter,Nectariniidae,,,
Melanocharis crassirostris,Spotted Berrypecker,Melanocharitidae,,,
,,,Melanocharis crassirostris,Thick-billed Berrypecker,Melanocharitidae
,,,Melanocharis piperata,Spotted Berrypecker,Melanocharitidae
Paramythia montium,Crested Berrypecker,Paramythiidae,,,
,,,Paramythia montium,Eastern Crested Berrypecker,Paramythiidae
,,,Paramythia olivacea,Western Crested Berrypecker,Paramythiidae
Montifringilla taczanowskii,White-rumped Snowfinch,Passeridae,Onychostruthus taczanowskii,White-rumped Snowfinch,Passeridae
Montifringilla davidiana,Pere David's Snowfinch,Passeridae,Pyrgilauda davidiana,Pere David's Snowfinch,Passeridae
Montifringilla ruficollis,Rufous-necked Snowfinch,Passeridae,Pyrgilauda ruficollis,Rufous-necked Snowfinch,Passeridae
Montifringilla blanfordi,Blanford's Snowfinch,Passeridae,Pyrgilauda blanfordi,Blanford's Snowfinch,Passeridae
Montifringilla theresae,Afghan Snowfinch,Passeridae,Pyrgilauda theresae,Afghan Snowfinch,Passeridae
Hemimacronyx sharpei,Sharpe's Longclaw,Motacillidae,Macronyx sharpei,Sharpe's Longclaw,Motacillidae
Anthus novaeseelandiae,Australasian Pipit,Motacillidae,,,
,,,Anthus novaeseelandiae,New Zealand Pipit,Motacillidae
,,,Anthus australis,Australian Pipit,Motacillidae
Anthus furcatus,Short-billed Pipit,Motacillidae,,,
,,,Anthus furcatus,Short-billed Pipit,Motacillidae
,,,Anthus brevirostris,Puna Pipit,Motacillidae
Anthus lutescens,Yellowish Pipit,Motacillidae,Anthus chii,Yellowish Pipit,Motacillidae
,,,Prunella ocularis,Radde's Accentor,Prunellidae
Prunella ocularis,Radde's Accentor,Prunellidae,,,
Prunella fagani,Yemen Accentor,Prunellidae,,,
Plocepasser donaldsoni,Donaldson-Smith's Sparrow-Weaver,Ploceidae,Plocepasser donaldsoni,Donaldson Smith's Sparrow-Weaver,Ploceidae
Ploceus nigricollis,Black-necked Weaver,Ploceidae,,,
,,,Ploceus nigricollis,Black-necked Weaver,Ploceidae
,,,Ploceus brachypterus,Olive-naped Weaver,Ploceidae
,,,Ploceus holoxanthus,Ruvu Weaver,Ploceidae
Ploceus nigerrimus,Vieillot's Weaver,Ploceidae,,,
,,,Ploceus nigerrimus,Vieillot's Black Weaver,Ploceidae
,,,Ploceus castaneofuscus,Chestnut-and-black Weaver,Ploceidae
Anaplectes rubriceps,Red-headed Weaver,Ploceidae,,,
,,,Anaplectes rubriceps,Red-headed Weaver,Ploceidae
,,,Anaplectes jubaensis,Red Weaver,Ploceidae
Euplectes ardens,Red-collared Widowbird,Ploceidae,,,
,,,Euplectes ardens,Red-collared Widowbird,Ploceidae
,,,Euplectes laticauda,Red-cowled Widowbird,Ploceidae
,,,Lagonosticta rubricata,African Firefinch,Estrildidae
Lagonosticta rubricata,African Firefinch,Estrildidae,,,
Lagonosticta landanae,Pale-billed Firefinch,Estrildidae,,,
,,,Erythrura cyaneovirens,Royal Parrotfinch,Estrildidae
Erythrura cyaneovirens,Red-headed Parrotfinch,Estrildidae,,,
Erythrura regia,Royal Parrotfinch,Estrildidae,,,
Fringilla coelebs,Common Chaffinch,Fringillidae,,,
,,,Fringilla coelebs,Common Chaffinch,Fringillidae
,,,Fringilla moreletti,Azores Chaffinch,Fringillidae
,,,Fringilla maderensis,Madeira Chaffinch,Fringillidae
,,,Fringilla canariensis,Canary Islands Chaffinch,Fringillidae
,,,Fringilla spodiogenys,African Chaffinch,Fringillidae
,,,Emberiza capensis,Cape Bunting,Emberizidae
Emberiza capensis,Cape Bunting,Emberizidae,,,
Emberiza vincenti,Vincent's Bunting,Emberizidae,,,
Emberiza spodocephala,Black-faced Bunting,Emberizidae,,,
,,,Emberiza spodocephala,Black-faced Bunting,Emberizidae
,,,Emberiza personata,Masked Bunting,Emberizidae
Geothlypis aequinoctialis,Masked Yellowthroat,Parulidae,,,
,,,Geothlypis aequinoctialis,Masked Yellowthroat,Parulidae
,,,Geothlypis auricularis,Black-lored Yellowthroat,Parulidae
,,,Geothlypis velata,Southern Yellowthroat,Parulidae
Myiothlypis chrysogaster,Golden-bellied Warbler,Parulidae,,,
,,,Myiothlypis chrysogaster,Cuzco Warbler,Parulidae
,,,Myiothlypis chlorophrys,Choco Warbler,Parulidae
Basileuterus griseiceps,Gray-headed Warbler,Parulidae,Myiothlypis griseiceps,Gray-headed Warbler,Parulidae
Basileuterus tristriatus,Three-striped Warbler,Parulidae,,,
,,,Basileuterus tristriatus,Three-striped Warbler,Parulidae
,,,Basileuterus punctipectus,Yungas Warbler,Parulidae
Chlorospingus flavopectus,Common Chlorospingus,Passerellidae,,,
,,,Chlorospingus flavopectus,Common Chlorospingus,Passerellidae
,,,Chlorospingus semifuscus,Dusky Chlorospingus,Passerellidae
Chlorospingus semifuscus,Dusky Chlorospingus,Passerellidae,,,
Chlorothraupis carmioli,Carmiol's Tanager,Cardinalidae,,,
,,,Chlorothraupis carmioli,Carmiol's Tanager,Cardinalidae
,,,Chlorothraupis frenata,Yellow-lored Tanager,Cardinalidae
,,,Heliothraupis oneilli,Inti Tanager,Thraupidae
Chlorophonia musica,Antillean Euphonia,Fringillidae,,,
,,,Chlorophonia musica,Hispaniolan Euphonia,Fringillidae
,,,Chlorophonia sclateri,Puerto Rican Euphonia,Fringillidae
,,,Chlorophonia flavifrons,Lesser Antillean Euphonia,Fringillidae
Tangara mexicana,Turquoise Tanager,Thraupidae,,,
,,,Tangara mexicana,Turquoise Tanager,Thraupidae
,,,Tangara brasiliensis,White-bellied Tanager,Thraupidae
Spodiornis rusticus,Slaty Finch,Thraupidae,Haplospiza rustica,Slaty Finch,Thraupidae
,,,Sporophila americana,Wing-barred Seedeater,Thraupidae
Sporophila americana,Wing-barred Seedeater,Thraupidae,,,
Sporophila murallae,Caqueta Seedeater,Thraupidae,,,
,,,Sporophila iberaensis,Ibera Seedeater,Thraupidae
Amaurospiza concolor,Blue Seedeater,Cardinalidae,,,
,,,Amaurospiza concolor,Blue Seedeater,Cardinalidae
,,,Amaurospiza aequatorialis,Ecuadorian Seedeater,Cardinalidae
Melopyrrha nigra,Cuban Bullfinch,Thraupidae,,,
,,,Melopyrrha nigra,Cuban Bullfinch,Thraupidae
,,,Melopyrrha taylori,Grand Cayman Bullfinch,Thraupidae
,,,Geospiza magnirostris,Large Ground-Finch,Thraupidae
Geospiza magnirostris,Large Ground-Finch,Thraupidae,,,
Geospiza propinqua,Genovesa Cactus-Finch,Thraupidae,,,
,,,Geospiza propinqua,Genovesa Cactus-Finch,Thraupidae
Rhodothraupis celaeno,Crimson-collared Grosbeak,Cardinalidae,Periporphyrus celaeno,Crimson-collared Grosbeak,Cardinalidae
Saltator coerulescens,Blue-gray Saltator,Thraupidae,Saltator coerulescens,Bluish-gray Saltator,Thraupidae
Saltator olivascens,Olivaceous Saltator,Thraupidae,Saltator olivascens,Olive-gray Saltator,Thraupidae
Sturnella magna,Eastern Meadowlark,Icteridae,,,
,,,Sturnella magna,Eastern Meadowlark,Icteridae
,,,Sturnella lilianae,Chihuahuan Meadowlark,Icteridae
Atlantisia podarces,St. Helena Crake,Rallidae,Atlantisia podarces,St. Helena Rail,Rallidae
Zapornia astrictocarpus,St. Helena Rail,Rallidae,Zapornia astrictocarpus,St. Helena Crake,Rallidae
Nyctanassa carcinocatactes,Bermuda Night-Heron,Ardeidae,Nyctanassa carcinocatactes,Bermuda Night Heron,Ardeidae
,,,,,
,,,,,
Legend,,,,,
,"Taxon removed. This color indicates that the taxonomic concept is only present in the first checklist. The species was either removed entirely from the list, or may have been replaced by another taxon concept (eg, following a species split or a species lump).",,,,
,"Taxon added. This color indicates that the taxonomic concept is only present in the second checklist. The species was either entirely new to the checklist, or it may replace another concept (eg, following a species split or a species lump).",,,,
,"Name changed. This color indicates that the taxonomic concept is the same between the 2 versions (ie, that the names refers to the same population), but that the scientific, common or family name has been modified.",,,,
,,,,,
"Avibase has been visited 384,005,962 times since 24 June 2003. © Denis Lepage | Privacy policy",,,,,
