CommonName,ScientificName,Notes
ANSERIFORMES: Anseranatidae,,
Magpie Goose,Anseranas semipalmata,
,,
ANSERIFORMES: Anatidae,,
Plumed Whistling-Duck,Dendrocygna eytoni,Endemic (country/region)
Wandering Whistling-Duck,Dendrocygna arcuata,
Radjah Shelduck,Radjah radjah,
Green Pygmy-Goose,Nettapus pulchellus,
Pacific Black Duck,Anas superciliosa,
Gray Teal,Anas gracilis,
Chestnut Teal,Anas castanea,Endemic (country/region)
Pink-eared Duck,Malacorhynchus membranaceus,Endemic (country/region)
Hardhead,Aythya australis,
,,
GALLIFORMES: Megapodiidae,,
Orange-footed Megapode,Megapodius reinwardt,
,,
GALLIFORMES: Phasianidae,,
Brown Quail,Synoicus ypsilophorus,
Blue-breasted Quail,Synoicus chinensis,
,,
PODICIPEDIFORMES: Podicipedidae,,
Australasian Grebe,Tachybaptus novaehollandiae,
Hoary-headed Grebe,Poliocephalus poliocephalus,Endemic (country/region)
,,
COLUMBIFORMES: Columbidae,,
Pacific Emerald Dove,Chalcophaps longirostris,
Common Bronzewing,Phaps chalcoptera,Endemic (country/region)
Diamond Dove,Geopelia cuneata,Endemic (country/region)
Peaceful Dove,Geopelia placida,
Bar-shouldered Dove,Geopelia humeralis,
Rose-crowned Fruit-Dove,Ptilinopus regina,
Torresian Imperial-Pigeon,Ducula spilorrhoa,
,,
CUCULIFORMES: Cuculidae,,
Pheasant Coucal,Centropus phasianinus,
Pacific Koel,Eudynamys orientalis,
Channel-billed Cuckoo,Scythrops novaehollandiae,
Horsfield's Bronze-Cuckoo,Chrysococcyx basalis,
Black-eared Cuckoo,Chrysococcyx osculans,
Little Bronze-Cuckoo,Chrysococcyx minutillus,
Pallid Cuckoo,Cacomantis pallidus,
Brush Cuckoo,Cacomantis variolosus,
Oriental Cuckoo,Cuculus optatus,
,,
CAPRIMULGIFORMES: Podargidae,,
Tawny Frogmouth,Podargus strigoides,Endemic (country/region)
,,
CAPRIMULGIFORMES: Caprimulgidae,,
Spotted Nightjar,Eurostopodus argus,
Large-tailed Nightjar,Caprimulgus macrurus,
,,
CAPRIMULGIFORMES: Aegothelidae,,
Australian Owlet-nightjar,Aegotheles cristatus,
,,
CAPRIMULGIFORMES: Apodidae,,
Pacific Swift,Apus pacificus,
,,
GRUIFORMES: Rallidae,,
Chestnut Rail,Gallirallus castaneoventris,
Buff-banded Rail,Gallirallus philippensis,
Eurasian Coot,Fulica atra,
White-browed Crake,Poliolimnas cinereus,
Pale-vented Bush-hen,Amaurornis moluccana,
,,
GRUIFORMES: Gruidae,,
Brolga,Antigone rubicunda,
,,
CHARADRIIFORMES: Burhinidae,,
Beach Thick-knee,Esacus magnirostris,
Bush Thick-knee,Burhinus grallarius,
,,
CHARADRIIFORMES: Recurvirostridae,,
Pied Stilt,Himantopus leucocephalus,
Red-necked Avocet,Recurvirostra novaehollandiae,Endemic (country/region)
,,
CHARADRIIFORMES: Haematopodidae,,
Pied Oystercatcher,Haematopus longirostris,
Sooty Oystercatcher,Haematopus fuliginosus,Endemic (country/region)
,,
CHARADRIIFORMES: Charadriidae,,
Black-bellied Plover,Pluvialis squatarola,
Pacific Golden-Plover,Pluvialis fulva,
Black-fronted Dotterel,Charadrius melanops,
Little Ringed Plover,Charadrius dubius,Rare/Accidental
Masked Lapwing,Vanellus miles,
Red-kneed Dotterel,Erythrogonys cinctus,Endemic (country/region)
Oriental Plover,Anarhynchus veredus,
Siberian Sand-Plover,Anarhynchus mongolus,
Greater Sand-Plover,Anarhynchus leschenaultii,
Double-banded Plover,Anarhynchus bicinctus,Rare/Accidental
Red-capped Plover,Anarhynchus ruficapillus,
,,
CHARADRIIFORMES: Jacanidae,,
Comb-crested Jacana,Irediparra gallinacea,
,,
CHARADRIIFORMES: Scolopacidae,,
Whimbrel,Numenius phaeopus,
Little Curlew,Numenius minutus,
Far Eastern Curlew,Numenius madagascariensis,
Bar-tailed Godwit,Limosa lapponica,
Black-tailed Godwit,Limosa limosa,
Asian Dowitcher,Limnodromus semipalmatus,
Swinhoe's Snipe,Gallinago megala,
Terek Sandpiper,Xenus cinereus,
Common Sandpiper,Actitis hypoleucos,
Gray-tailed Tattler,Tringa brevipes,
Marsh Sandpiper,Tringa stagnatilis,
Wood Sandpiper,Tringa glareola,
Common Greenshank,Tringa nebularia,
Ruddy Turnstone,Arenaria interpres,
Great Knot,Calidris tenuirostris,
Red Knot,Calidris canutus,
Broad-billed Sandpiper,Calidris falcinellus,
Sharp-tailed Sandpiper,Calidris acuminata,
Curlew Sandpiper,Calidris ferruginea,
Red-necked Stint,Calidris ruficollis,
Sanderling,Calidris alba,
Pectoral Sandpiper,Calidris melanotos,
,,
CHARADRIIFORMES: Turnicidae,,
Red-backed Buttonquail,Turnix maculosus,
Chestnut-backed Buttonquail,Turnix castanotus,Endemic (country/region)
,,
CHARADRIIFORMES: Glareolidae,,
Australian Pratincole,Stiltia isabella,Endemic (country/region)
Oriental Pratincole,Glareola maldivarum,
,,
CHARADRIIFORMES: Stercorariidae,,
Pomarine Jaeger,Stercorarius pomarinus,
,,
CHARADRIIFORMES: Laridae,,
Silver Gull,Chroicocephalus novaehollandiae,
Brown Noddy,Anous stolidus,
Black Noddy,Anous minutus,Rare/Accidental
Sooty Tern,Onychoprion fuscatus,
Bridled Tern,Onychoprion anaethetus,
Little Tern,Sternula albifrons,
Australian Tern,Gelochelidon macrotarsa,
Caspian Tern,Hydroprogne caspia,
Whiskered Tern,Chlidonias hybrida,
White-winged Tern,Chlidonias leucopterus,
Common Tern,Sterna hirundo,
Black-naped Tern,Sterna sumatrana,
Roseate Tern,Sterna dougallii,
Lesser Crested Tern,Thalasseus bengalensis,
Great Crested Tern,Thalasseus bergii,
,,
PHAETHONTIFORMES: Phaethontidae,,
Red-tailed Tropicbird,Phaethon rubricauda,
,,
PROCELLARIIFORMES: Oceanitidae,,
Wilson's Storm-Petrel,Oceanites oceanicus,
,,
PROCELLARIIFORMES: Procellariidae,,
Tahiti Petrel,Pseudobulweria rostrata,
Streaked Shearwater,Calonectris leucomelas,
Hutton's Shearwater,Puffinus huttoni,Rare/Accidental
,,
CICONIIFORMES: Ciconiidae,,
Black-necked Stork,Ephippiorhynchus asiaticus,
,,
SULIFORMES: Fregatidae,,
Lesser Frigatebird,Fregata ariel,
Great Frigatebird,Fregata minor,
,,
SULIFORMES: Sulidae,,
Brown Booby,Sula leucogaster,
,,
SULIFORMES: Anhingidae,,
Australasian Darter,Anhinga novaehollandiae,
,,
SULIFORMES: Phalacrocoracidae,,
Little Pied Cormorant,Microcarbo melanoleucos,
Great Cormorant,Phalacrocorax carbo,
Little Black Cormorant,Phalacrocorax sulcirostris,
Pied Cormorant,Phalacrocorax varius,
,,
PELECANIFORMES: Pelecanidae,,
Australian Pelican,Pelecanus conspicillatus,
,,
PELECANIFORMES: Ardeidae,,
Black Bittern,Ixobrychus flavicollis,
Nankeen Night Heron,Nycticorax caledonicus,
Pacific Reef-Heron,Egretta sacra,
Little Egret,Egretta garzetta,
Pied Heron,Egretta picata,
White-faced Heron,Egretta novaehollandiae,
Striated Heron,Butorides striata,
Eastern Cattle Egret,Bubulcus coromandus,
Great Egret,Ardea alba,
Plumed Egret,Ardea plumifera,
Great-billed Heron,Ardea sumatrana,
,,
PELECANIFORMES: Threskiornithidae,,
Glossy Ibis,Plegadis falcinellus,
Australian Ibis,Threskiornis molucca,
Straw-necked Ibis,Threskiornis spinicollis,
Royal Spoonbill,Platalea regia,
,,
ACCIPITRIFORMES: Pandionidae,,
Osprey,Pandion haliaetus,
,,
ACCIPITRIFORMES: Accipitridae,,
Black-shouldered Kite,Elanus axillaris,Endemic (country/region)
Black-breasted Kite,Hamirostra melanosternon,
Square-tailed Kite,Lophoictinia isura,
Pacific Baza,Aviceda subcristata,
Little Eagle,Hieraaetus morphnoides,
Wedge-tailed Eagle,Aquila audax,
Swamp Harrier,Circus approximans,
Brown Goshawk,Accipiter fasciatus,
Collared Sparrowhawk,Accipiter cirrocephalus,
Black Kite,Milvus migrans,
Whistling Kite,Haliastur sphenurus,
Brahminy Kite,Haliastur indus,
White-bellied Sea-Eagle,Icthyophaga leucogaster,
,,
STRIGIFORMES: Tytonidae,,
Australian Masked-Owl,Tyto novaehollandiae,
Barn Owl,Tyto alba,
,,
STRIGIFORMES: Strigidae,,
Southern Boobook,Ninox boobook,
,,
CORACIIFORMES: Alcedinidae,,
Azure Kingfisher,Ceyx azureus,
Little Kingfisher,Ceyx pusillus,
Blue-winged Kookaburra,Dacelo leachii,
Red-backed Kingfisher,Todiramphus pyrrhopygius,Endemic (country/region)
Forest Kingfisher,Todiramphus macleayii,
Torresian Kingfisher,Todiramphus sordidus,
Sacred Kingfisher,Todiramphus sanctus,
,,
CORACIIFORMES: Meropidae,,
Rainbow Bee-eater,Merops ornatus,
,,
CORACIIFORMES: Coraciidae,,
Dollarbird,Eurystomus orientalis,
,,
FALCONIFORMES: Falconidae,,
Nankeen Kestrel,Falco cenchroides,
Australian Hobby,Falco longipennis,
Brown Falcon,Falco berigora,
Peregrine Falcon,Falco peregrinus,
,,
PSITTACIFORMES: Cacatuidae,,
Red-tailed Black-Cockatoo,Calyptorhynchus banksii,Endemic (country/region)
Galah,Eolophus roseicapilla,Endemic (country/region)
Little Corella,Cacatua sanguinea,
Sulphur-crested Cockatoo,Cacatua galerita,
,,
PSITTACIFORMES: Psittaculidae,,
Red-winged Parrot,Aprosmictus erythropterus,
Varied Lorikeet,Psitteuteles versicolor,Endemic (country/region)
Red-collared Lorikeet,Trichoglossus rubritorquis,Endemic (country/region)
,,
PASSERIFORMES: Pittidae,,
Rainbow Pitta,Pitta iris,Endemic (country/region)
,,
PASSERIFORMES: Ptilonorhynchidae,,
Great Bowerbird,Chlamydera nuchalis,Endemic (country/region)
,,
PASSERIFORMES: Climacteridae,,
Black-tailed Treecreeper,Climacteris melanurus,Endemic (country/region)
,,
PASSERIFORMES: Maluridae,,
Red-backed Fairywren,Malurus melanocephalus,Endemic (country/region)
,,
PASSERIFORMES: Meliphagidae,,
White-gaped Honeyeater,Stomiopera unicolor,Endemic (country/region)
Yellow-throated Miner,Manorina flavigula,
Singing Honeyeater,Gavicalis virescens,
Yellow-tinted Honeyeater,Ptilotula flavescens,
Bar-breasted Honeyeater,Ramsayornis fasciatus,Endemic (country/region)
Rufous-banded Honeyeater,Conopophila albogularis,
Rufous-throated Honeyeater,Conopophila rufogularis,
Dusky Myzomela,Myzomela obscura,
Red-headed Myzomela,Myzomela erythrocephala,
Banded Honeyeater,Cissomela pectoralis,Endemic (country/region)
Brown Honeyeater,Lichmera indistincta,
Blue-faced Honeyeater,Entomyzon cyanotis,
White-throated Honeyeater,Melithreptus albogularis,
Black-chinned Honeyeater,Melithreptus gularis,Endemic (country/region)
Little Friarbird,Philemon citreogularis,
Helmeted Friarbird,Philemon buceroides,
Silver-crowned Friarbird,Philemon argenticeps,Endemic (country/region)
,,
PASSERIFORMES: Pardalotidae,,
Red-browed Pardalote,Pardalotus rubricatus,Endemic (country/region)
Striated Pardalote,Pardalotus striatus,Endemic (country/region)
,,
PASSERIFORMES: Acanthizidae,,
Green-backed Gerygone,Gerygone chloronota,
Large-billed Gerygone,Gerygone magnirostris,
White-throated Gerygone,Gerygone olivacea,
Mangrove Gerygone,Gerygone levigaster,
,,
PASSERIFORMES: Pomatostomidae,,
Gray-crowned Babbler,Pomatostomus temporalis,
,,
PASSERIFORMES: Campephagidae,,
Black-faced Cuckooshrike,Coracina novaehollandiae,
White-bellied Cuckooshrike,Coracina papuensis,
White-winged Triller,Lalage tricolor,
Varied Triller,Lalage leucomela,
Common Cicadabird,Edolisoma tenuirostre,
,,
PASSERIFORMES: Neosittidae,,
Varied Sittella,Daphoenositta chrysoptera,
,,
PASSERIFORMES: Pachycephalidae,,
Sandstone Shrikethrush,Colluricincla woodwardi,Endemic (country/region)
Gray Shrikethrush,Colluricincla harmonica,
Black-tailed Whistler,Pachycephala melanura,
Gray Whistler,Pachycephala simplex,
Rufous Whistler,Pachycephala rufiventris,
White-breasted Whistler,Pachycephala lanioides,
,,
PASSERIFORMES: Oriolidae,,
Olive-backed Oriole,Oriolus sagittatus,
Green Oriole,Oriolus flavocinctus,
Australasian Figbird,Sphecotheres vieilloti,
,,
PASSERIFORMES: Artamidae,,
White-breasted Woodswallow,Artamus leucorynchus,
Masked Woodswallow,Artamus personatus,
Black-faced Woodswallow,Artamus cinereus,
Little Woodswallow,Artamus minor,Endemic (country/region)
Pied Butcherbird,Cracticus nigrogularis,Endemic (country/region)
Australian Magpie,Gymnorhina tibicen,
,,
PASSERIFORMES: Rhipiduridae,,
Northern Fantail,Rhipidura rufiventris,
Willie-wagtail,Rhipidura leucophrys,
Arafura Fantail,Rhipidura dryas,
Mangrove Fantail,Rhipidura phasiana,
,,
PASSERIFORMES: Dicruridae,,
Spangled Drongo,Dicrurus bracteatus,
,,
PASSERIFORMES: Monarchidae,,
Magpie-lark,Grallina cyanoleuca,
Leaden Flycatcher,Myiagra rubecula,
Broad-billed Flycatcher,Myiagra ruficollis,
Paperbark Flycatcher,Myiagra nana,
Shining Flycatcher,Myiagra alecto,
,,
PASSERIFORMES: Corvidae,,
Torresian Crow,Corvus orru,
,,
PASSERIFORMES: Petroicidae,,
Lemon-bellied Flyrobin,Microeca flavigaster,
Jacky-winter,Microeca fascinans,
Mangrove Robin,Melanodryas pulverulenta,
,,
PASSERIFORMES: Cisticolidae,,
Zitting Cisticola,Cisticola juncidis,
Golden-headed Cisticola,Cisticola exilis,
,,
PASSERIFORMES: Locustellidae,,
Brown Songlark,Cincloramphus cruralis,Endemic (country/region)
Rufous Songlark,Cincloramphus mathewsi,Endemic (country/region)
Tawny Grassbird,Cincloramphus timoriensis,
,,
PASSERIFORMES: Hirundinidae,,
Barn Swallow,Hirundo rustica,
Fairy Martin,Petrochelidon ariel,Endemic (country/region)
Tree Martin,Petrochelidon nigricans,
,,
PASSERIFORMES: Zosteropidae,,
Australian Yellow White-eye,Zosterops luteus,Endemic (country/region)
,,
PASSERIFORMES: Dicaeidae,,
Mistletoebird,Dicaeum hirundinaceum,
,,
PASSERIFORMES: Estrildidae,,
Crimson Finch,Neochmia phaeton,
Double-barred Finch,Stizoptera bichenovii,Endemic (country/region)
Zebra Finch,Taeniopygia guttata,
Long-tailed Finch,Poephila acuticauda,Endemic (country/region)
Chestnut-breasted Munia,Lonchura castaneothorax,
,,
PASSERIFORMES: Motacillidae,,
Eastern Yellow Wagtail,Motacilla tschutschensis,Rare/Accidental
Australian Pipit,Anthus australis,
