"","ScientificName2023","CommonName2023","FolkGeneric","Family2023","Order2023","BeakLengthCulmen","BeakLengthNares","BeakWidth","BeakDepth","TarsusLength","WingLength","KippsDistance","Secondary","HandWingIndex","TailLength","Mass","ScientificNameV3","ScientificName1974","CommonName1974","Family1974","Language","LangID","Order1974"
"1","Melanerpes formicivorus","Acorn Woodpecker","càrpìntêr","Picidae","Piciformes",26.9,20.6,8.2,7.4,21.8,139.8,40.1,103.6,28,84.5,79.6,"Melanerpes formicivorus","Melanerpes formicivorus","Acorn Woodpecker","Picidae","Zapotec",1,"Piciformes"
"2","Cinclus mexicanus","American Dipper","mguîn̲-nìs","Cinclidae","Passeriformes",21.6,11.7,3.4,4.8,29.8,89.1,23.6,65.3,26.5,51.8,56.7,"Cinclus mexicanus","Cinclus mexicanus","American Dipper","Cinclidae","Zapotec",2,"Passeriformes"
"3","Falco sparverius","American Kestrel","líd","Falconidae","Falconiformes",17.1,11,8.4,10.1,33.7,182.4,77.9,100.1,43.7,126.5,114.6,"Falco sparverius","Falco sparverius","American Kestrel","Falconidae","Zapotec",3,"Falconiformes"
"4","Mareca americana","American Wigeon","bǎd","Anatidae","Anseriformes",44.9,26.9,16,12.3,34.6,253.2,135.4,116.6,53.7,93.8,754.6,"Anas americana","Anas americana","American Wigeon","Anatidae","Zapotec",4,"Anseriformes"
"5","Lampornis amethystinus","Amethyst-throated Mountain-gem","dzǐn̲g","Trochilidae","Caprimulgiformes",24.6,19,2.7,1.9,4.4,65.4,41.5,23,64.3,41.5,5.2,"Lampornis amethystinus","Lampornis amethystinus","Amethyst-throated Hummingbird","Trochilidae","Zapotec",5,"Apodiformes"
"6","Hirundo rustica","Barn Swallow","xlútsǐ","Hirundinidae","Passeriformes",12.4,6,4.5,2.7,11.7,115.8,62.3,56,52.6,70.4,17.9,"Hirundo rustica","Hirundo rustica","Barn Swallow","Hirundinidae","Zapotec",6,"Passeriformes"
"7","Calothorax pulcher","Beautiful Hummingbird","dzǐn̲g","Trochilidae","Caprimulgiformes",21.4,16.4,1.3,1.6,3.9,37.1,23.2,14.2,62.1,27.4,2.7,"Calothorax pulcher","Calothorax pulcher","Beautiful Hummingbird","Trochilidae","Zapotec",7,"Apodiformes"
"8","Saucerottia beryllina","Berylline Hummingbird","dzǐn̲g","Trochilidae","Caprimulgiformes",21.3,17.4,2.3,2.1,5.7,53.4,32.7,21.1,60.8,31.8,4.5,"Amazilia beryllina","Amazilia beryllina","Berylline Hummingbird","Trochilidae","Zapotec",8,"Apodiformes"
"9","Thryomanes bewickii","Bewick's Wren","nguzhǐn","Troglodytidae","Passeriformes",15.5,10.1,2.6,3,17.5,54,7.3,46.1,13.8,51.2,9.9,"Thryomanes bewickii","Thryomanes bewickii","Bewick's Wren","Troglodytidae","Zapotec",9,"Passeriformes"
"10","Cypseloides niger","Black Swift","xlútsǐ","Apodidae","Caprimulgiformes",9,3.7,3.4,2.4,12.5,149.4,105.2,39.3,73,59.4,39.7,"Cypseloides niger","Cypseloides niger","Black Swift","Apodidae","Zapotec",10,"Apodiformes"
"11","Coragyps atratus","Black Vulture","pěch","Cathartidae","Cathartiformes",60,35,14.8,16.1,76.1,410.1,58.4,352.6,14.3,180,1881.7,"Coragyps atratus","Coragyps atratus","Black Vulture","Cathartidae","Zapotec",11,"Falconiformes"
"12","Mniotilta varia","Black-and-white Warbler","wǐt","Parulidae","Passeriformes",13.7,9,2.9,3.3,17.3,68.8,17,49.7,25.5,46.6,10.9,"Mniotilta varia","Mniotilta varia","Black-and-white Warbler","Parulidae","Zapotec",12,"Passeriformes"
"13","Dendrocygna autumnalis","Black-bellied Whistling-Duck","pìxîx","Anatidae","Anseriformes",50.8,34.6,18.3,16.1,52.7,240.8,79.1,163.4,32.7,66,755.3,"Dendrocygna autumnalis","Dendrocygna autumnalis","Black-bellied Tree-Duck","Anatidae","Zapotec",13,"Anseriformes"
"14","Pheucticus melanocephalus","Black-headed Grosbeak","mguěy","Cardinalidae","Passeriformes",19.1,13,9.1,12.1,22.9,100.5,24.3,76,24.2,72.8,47.1,"Pheucticus melanocephalus","Pheucticus melanocephalus","Black-headed Grosbeak","Fringillidae","Zapotec",14,"Passeriformes"
"15","Spinus notatus","Black-headed Siskin","yěets","Fringillidae","Passeriformes",13.4,9.7,4.6,6.1,13,65.2,20.1,45.1,30.9,40.2,10.9,"Carduelis notata","Carduelis notata","Black-headed Siskin","Fringillidae","Zapotec",15,"Passeriformes"
"16","Setophaga nigrescens","Black-throated Gray Warbler","wǐt","Parulidae","Passeriformes",12.1,6.9,3.4,3.7,18.2,63.2,14.8,48.5,23.4,49,8.7,"Dendroica nigrescens","Dendroica nigrescens","Black-throated Gray Warbler","Parulidae","Zapotec",16,"Passeriformes"
"17","Icterus wagleri","Black-vented Oriole","mguěy","Icteridae","Passeriformes",24.2,15.2,4.5,5.9,23.9,101.2,22.8,77.5,22.7,106.2,41.8,"Icterus wagleri","Icterus wagleri","Black-vented Oriole","Icteridae","Zapotec",17,"Passeriformes"
"18","Melanotis caerulescens","Blue Mockingbird","mæ̀cw-guiùu","Mimidae","Passeriformes",27.9,16.7,4.8,6.1,30.2,111.2,15.2,96,13.7,126.5,61.6,"Melanotis caerulescens","Melanotis caerulescens","Blue Mockingbird","Mimidae","Zapotec",18,"Passeriformes"
"19","Polioptila caerulea","Blue-gray Gnatcatcher","dìx","Polioptilidae","Passeriformes",11.3,7.4,2.8,2.3,15.9,50.8,9.6,40.8,19.1,49.1,5.8,"Polioptila caerulea","Polioptila caerulea","Blue-gray Gnatcatcher","Sylviidae","Zapotec",19,"Passeriformes"
"20","Lampornis clemenciae","Blue-throated Mountain-gem","dzǐn̲g","Trochilidae","Caprimulgiformes",28.4,22.5,2.5,2.3,5,73.7,47.9,24.7,66.2,49,7.6,"Lampornis clemenciae","Lampornis clemenciae","Blue-throated Hummingbird","Trochilidae","Zapotec",20,"Apodiformes"
"21","Spatula discors","Blue-winged Teal","bǎd","Anatidae","Anseriformes",47.3,31.8,15.6,12.6,29.1,178.3,98.7,84.6,53.8,66.7,359.4,"Anas discors","Anas discors","Blue-winged Teal","Anatidae","Zapotec",21,"Anseriformes"
"22","Campylorhynchus jocosus","Boucard's Wren","mguîn̲-quiè","Troglodytidae","Passeriformes",26.1,16.6,3.8,4.8,22.1,72,9.9,62.1,13.6,67.2,27.6,"Campylorhynchus jocosus","Campylorhynchus jocosus","Boucard's Wren","Troglodytidae","Zapotec",22,"Passeriformes"
"23","Peucaea mystacalis","Bridled Sparrow","mtsùu","Passerellidae","Passeriformes",14.3,8.9,4.6,6.4,21.4,70.8,7.2,64.3,10,78.6,22.2,"Aimophila mystacalis","Aimophila mystacalis","Bridled Sparrow","Fringillidae","Zapotec",23,"Passeriformes"
"24","Baeolophus wollweberi","Bridled Titmouse","mguîn̲-pàyâs","Paridae","Passeriformes",9.2,6.9,3.9,4.3,16.3,64,10.6,53.5,16.5,58.5,10.4,"Baeolophus wollweberi","Parus wollweberi","Bridled Titmouse","Paridae","Zapotec",24,"Passeriformes"
"25","Myadestes occidentalis","Brown-backed Solitaire","mguîn̲-guìib-tsár","Turdidae","Passeriformes",15.4,7.8,4.8,4.6,20.8,102.5,27.6,74.8,27,101.2,36.4,"Myadestes occidentalis","Myadestes obscurus","Brown-backed Solitaire","Turdidae","Zapotec",25,"Passeriformes"
"26","Selasphorus heloisa","Bumblebee Hummingbird","dzǐn̲g","Trochilidae","Caprimulgiformes",14.7,10.9,1.3,1.3,4.1,34.4,22.9,11.5,66.5,21,2.2,"Atthis heloisa","Atthis heloisa","Bumblebee Hummingbird","Trochilidae","Zapotec",26,"Apodiformes"
"27","Psaltriparus minimus","Bushtit","mziùud","Aegithalidae","Passeriformes",7.8,4.6,2.4,3.4,15.7,45.2,8.8,36.5,19.4,52.2,5.3,"Psaltriparus minimus","Psaltriparus minimus","Common Bushtit","Paridae","Zapotec",27,"Passeriformes"
"28","Catherpes mexicanus","Canyon Wren","nguzhǐn","Troglodytidae","Passeriformes",23.9,15.7,3.2,3.4,18.6,64.3,8.3,55.3,13.2,56,12,"Catherpes mexicanus","Catherpes mexicanus","Canyon Wren","Troglodytidae","Zapotec",28,"Passeriformes"
"29","Tyrannus vociferans","Cassin's Kingbird","cùchguêr","Tyrannidae","Passeriformes",23.8,14.9,8.5,7,19.5,128.9,41.3,89.6,31.9,96.9,45.6,"Tyrannus vociferans","Tyrannus vociferans","Cassin's Kingbird","Tyrannidae","Zapotec",29,"Passeriformes"
"30","Bombycilla cedrorum","Cedar Waxwing","mguîn̲-bæ̀d","Bombycillidae","Passeriformes",15.1,6.6,4.5,4.9,16.7,95.4,33.5,62,35.1,59.8,31.6,"Bombycilla cedrorum","Bombycilla cedrorum","Cedar Waxwing","Bombycillidae","Zapotec",30,"Passeriformes"
"31","Streptoprocne rutila","Chestnut-collared Swift","xlútsǐ","Apodidae","Caprimulgiformes",7.1,3,3.7,2,12,130,93.2,38.1,71,44.5,20.2,"Streptoprocne rutila","Cypseloides rutilus","Chestnut-collared Swift","Apodidae","Zapotec",31,"Apodiformes"
"32","Spizella passerina","Chipping Sparrow","mtsùu","Passerellidae","Passeriformes",13.1,7,4,4.9,16.3,68,16.3,51,24.2,56,12.2,"Spizella passerina","Spizella passerina","Chipping Sparrow","Fringillidae","Zapotec",32,"Passeriformes"
"33","Petrochelidon pyrrhonota","Cliff Swallow","xlútsǐ","Hirundinidae","Passeriformes",11.3,5.9,4.5,3,12.6,109.3,54.2,56.4,49,49.2,21.6,"Petrochelidon pyrrhonota","Petrochelidon pyrrhonota","Cliff Swallow","Hirundinidae","Zapotec",33,"Passeriformes"
"34","Pipilo ocai","Collared Towhee","chùubây","Passerellidae","Passeriformes",18.5,10.9,6.1,8.3,30.6,84.5,9.5,74.4,11.4,97.6,61,"Pipilo ocai","Pipilo ocai","Collared Towhee","Fringillidae","Zapotec",34,"Passeriformes"
"35","Columbina passerina","Common Ground Dove","côc","Columbidae","Columbiformes",13.9,8.2,2.5,3.2,15.2,81.6,21.6,63.6,25.4,59.6,35.4,"Columbina passerina","Columbina passerina","Common Ground Dove","Columbidae","Zapotec",35,"Columbiformes"
"36","Corvus corax","Common Raven","ngǎ","Corvidae","Passeriformes",77,49.2,21.9,27.9,67.1,419.7,167.2,252.7,39.8,228.7,928,"Corvus corax","Corvus corax","Northern Raven","Corvidae","Zapotec",36,"Passeriformes"
"37","Accipiter cooperii","Cooper's Hawk","msì","Accipitridae","Accipitriformes",25.4,13.9,8.6,13.2,62,241.2,77.8,163.5,32.3,188.4,429.7,"Accipiter cooperii","Accipiter cooperii","Cooper's Hawk","Accipitridae","Zapotec",37,"Falconiformes"
"38","Empidonax difficilis","Western Flycatcher","wǐt","Tyrannidae","Passeriformes",16.2,8.3,5.4,3.7,16.3,66.7,13.3,51.2,20.6,64,11.6,"Empidonax occidentalis","Empidonax difficilis","Western Flycatcher","Tyrannidae","Zapotec",38,"Passeriformes"
"39","Oreothlypis superciliosa","Crescent-chested Warbler","nguzhǐn","Parulidae","Passeriformes",13.7,8.6,3.3,3.6,16.4,62.3,15.4,46.9,24.7,52.9,9,"Parula superciliosa","Parula superciliosa","Crescent-chested Warbler","Parulidae","Zapotec",39,"Passeriformes"
"40","Toxostoma curvirostre","Curve-billed Thrasher","mquièts","Mimidae","Passeriformes",35.2,23.7,6.1,6.5,32.4,111.6,19.8,92.2,17.7,109.2,80.5,"Toxostoma curvirostre","Toxostoma curvirostre","Curve-billed Thrasher","Mimidae","Zapotec",40,"Passeriformes"
"41","Empidonax oberholseri","Dusky Flycatcher","wǐt","Tyrannidae","Passeriformes",13.5,7.8,4.6,3.2,17.5,66.6,12.5,54.1,18.7,60.6,10.4,"Empidonax oberholseri","Empidonax oberholseri","Dusky Flycatcher","Tyrannidae","Zapotec",41,"Passeriformes"
"42","Phaeoptila sordida","Dusky Hummingbird","dzǐn̲g","Trochilidae","Caprimulgiformes",23.4,18.7,2.3,1.9,4.3,56.1,36.4,19,65.8,32.6,4,"Cynanthus sordidus","Cynanthus sordidus","Dusky Hummingbird","Trochilidae","Zapotec",42,"Apodiformes"
"43","Trogon elegans","Elegant Trogon","chòo-dzê","Trogonidae","Trogoniformes",19.6,12.3,9.1,9.9,14.6,130.7,51.7,79,39.5,160.6,70.9,"Trogon elegans","Trogon elegans","Elegant Trogon","Trogonidae","Zapotec",43,"Trogoniformes"
"44","Micrathene whitneyi","Elf Owl","mquí","Strigidae","Strigiformes",12.9,8,5.2,7.4,20.1,108.2,32.5,75.8,30,47,41,"Micrathene whitneyi","Micrathene whitneyi","Elf Owl","Strigidae","Zapotec",44,"Strigiformes"
"45","Lamprolaima rhami","Garnet-throated Hummingbird","dzǐn̲g","Trochilidae","Caprimulgiformes",21.1,15.4,2.3,2.2,3.4,78,47.5,30.3,61,46.8,7.8,"Lamprolaima rhami","Lamprolaima rhami","Garnet-throated Hummingbird","Trochilidae","Zapotec",45,"Apodiformes"
"46","Ptiliogonys cinereus","Gray Silky-flycatcher","péedrùuch","Ptiliogonatidae","Passeriformes",14.6,6.7,4.4,4.2,16.7,92.6,22.2,70.5,24,98.2,33.6,"Ptilogonys cinereus","Ptilogonys cinereus","Gray Silky-flycatcher","Ptilogonatidae","Zapotec",46,"Passeriformes"
"47","Melanerpes hypopolius","Gray-breasted Woodpecker","càrpìntêr","Picidae","Piciformes",23,17.7,5.7,5.4,19.2,125.2,34.5,90.8,27.6,90.2,52.4,"Melanerpes hypopolius","Centurus hypopolius","Gray-breasted Woodpecker","Picidae","Zapotec",47,"Piciformes"
"48","Anser anser","Graylag Goose","gâns","Anatidae","Anseriformes",61.2,31.8,22.5,21.6,76.2,435.7,204.7,229.4,47.2,136.1,3302.4,"Anser anser","Anser anser","Graylag Goose","Anatidae","Zapotec",48,"Anseriformes"
"49","Quiscalus mexicanus","Great-tailed Grackle","mguîn̲-bǒo","Icteridae","Passeriformes",43.3,29.2,8.2,11.5,47.9,168.6,46,126.4,26.8,170.1,160.5,"Quiscalus mexicanus","Cassidix mexicanus","Great-tailed Grackle","Icteridae","Zapotec",49,"Passeriformes"
"50","Contopus pertinax","Greater Pewee","pédrǐt","Tyrannidae","Passeriformes",23,13.4,7.8,5.6,17,108.3,30,77.6,28.3,83,27.2,"Contopus pertinax","Contopus pertinas","Coue's Flycatcher","Tyrannidae","Zapotec",50,"Passeriformes"
"51","Ramosomyia viridifrons","Green-fronted Hummingbird","dzǐn̲g","Trochilidae","Caprimulgiformes",23.9,21.1,3,2.4,4.5,56.2,36.3,19.9,64.6,31.8,6.3,"Amazilia viridifrons","Amazilia viridifrons","Green-fronted Hummingbird","Trochilidae","Zapotec",51,"Apodiformes"
"52","Anas crecca","Green-winged Teal","bǎd","Anatidae","Anseriformes",36.2,29.2,11.8,11.4,26.4,178.8,95.1,84.2,53.1,61.5,341.9,"Anas crecca","Anas crecca","Green-winged Teal","Anatidae","Zapotec",52,"Anseriformes"
"53","Dryobates villosus","Hairy Woodpecker","càrpìntêr","Picidae","Piciformes",31.6,24.1,8.2,8.1,23.1,126.7,32.4,95.5,25.3,81.7,62.7,"Picoides villosus","Dendrocopos villosus","Hairy Woodpecker","Picidae","Zapotec",53,"Piciformes"
"54","Setophaga occidentalis","Hermit Warbler","wǐt","Parulidae","Passeriformes",12.4,7.7,3.2,3.6,17.8,66.9,18,48.8,26.9,52.4,10.4,"Dendroica occidentalis","Dendroica occidentalis","Hermit Warbler","Parulidae","Zapotec",54,"Passeriformes"
"55","Eremophila alpestris","Horned Lark","mguîn̲-ló-liù","Alaudidae","Passeriformes",13.9,9.2,4.2,5,23.5,108.1,41.7,66.2,38.6,71.4,33.3,"Eremophila alpestris","Eremophila alpestris","Horned Lark","Alaudidae","Zapotec",55,"Passeriformes"
"56","Haemorhous mexicanus","House Finch","mguěy","Fringillidae","Passeriformes",10.6,8.4,6.6,8.2,17.4,77.2,21.2,55.8,27.5,66.2,21.4,"Carpodacus mexicanus","Carpodacus mexicanus","House Finch","Fringillidae","Zapotec",56,"Passeriformes"
"57","Vireo huttoni","Hutton's Vireo","mtsùu","Vireonidae","Passeriformes",13.1,6.9,3.7,3.8,19.5,63.2,10.8,52.6,17,49.1,11.3,"Vireo huttoni","Vireo huttoni","Hutton's Vireo","Vireonidae","Zapotec",57,"Passeriformes"
"58","Columbina inca","Inca Dove","côc","Columbidae","Columbiformes",16.1,7.1,3.5,3.8,15.5,92.5,24.2,69,26,88.7,47.5,"Columbina inca","Scardafella inca","Inca Dove","Columbidae","Zapotec",58,"Columbiformes"
"59","Sarcoramphus papa","King Vulture","pěch","Cathartidae","Cathartiformes",61.9,46,22.8,30.6,89.9,508.2,191.6,317.6,37.6,239,3400,"Sarcoramphus papa","Sarcoramphus papa","King Vulture","Cathartidae","Zapotec",59,"Falconiformes"
"60","Dryobates scalaris","Ladder-backed Woodpecker","càrpìntêr","Picidae","Piciformes",19,13.8,6.9,6.3,17.8,96.8,23.8,73,24.6,58.2,31.6,"Picoides scalaris","Dendrocopos scalaris","Ladder-backed Woodpecker","Picidae","Zapotec",60,"Piciformes"
"61","Spinus psaltria","Lesser Goldfinch","mdzíl-dò","Fringillidae","Passeriformes",10.2,7.8,4.7,6.3,12.4,60.9,16.2,46.2,26,40.4,8.8,"Carduelis psaltria","Carduelis psaltria","Lesser Goldfinch","Fringillidae","Zapotec",61,"Passeriformes"
"62","Geococcyx velox","Lesser Roadrunner","mriě","Cuculidae","Cuculiformes",42.8,24.9,8.7,10.8,47.7,141.7,9.3,133.8,6.5,269.3,179.9,"Geococcyx velox","Geococcyx velox","Lesser Roadrunner","Cuculidae","Zapotec",62,"Cuculiformes"
"63","Aythya affinis","Lesser Scaup","bǎd","Anatidae","Anseriformes",47.3,29.4,19.6,13.4,34.9,198.2,101,97,51,53.4,819.5,"Aythya affinis","Aythya affinis","Lesser Scaup","Anatidae","Zapotec",63,"Anseriformes"
"64","Amazona finschi","Lilac-crowned Parrot","lòr","Psittacidae","Psittaciformes",35.4,28.7,18,31.9,21.2,192.4,69.8,121.7,36.5,109,302,"Amazona finschi","Amazona finschi","Lilac-crowned Amazon","Psittacidae","Zapotec",64,"Psittaciformes"
"65","Melospiza lincolnii","Lincoln's Sparrow","mtsùu","Passerellidae","Passeriformes",13.2,8,4,5.1,20.1,64,14.3,49.7,22.3,56.8,16.6,"Melospiza lincolnii","Zonotrichia lincolnii","Lincoln's Sparrow","Fringillidae","Zapotec",65,"Passeriformes"
"66","Dryocopus lineatus","Lineated Woodpecker","càrpìntêr","Picidae","Piciformes",41.3,30.5,11,10.2,28.6,184.7,41,144.9,22,122,183.2,"Dryocopus lineatus","Dryocopus lineatus","Lineated Woodpecker","Picidae","Zapotec",66,"Piciformes"
"67","Dendrortyx macroura","Long-tailed Wood-Partridge","mtsòo","Odontophoridae","Galliformes",20.4,12.5,12.8,14.4,50.3,165.2,20.8,144.5,12.5,143,431,"Dendrortyx macroura","Dendrortyx macroura","Long-tailed Wood-Partridge","Phasianidae","Zapotec",67,"Galliformes"
"68","Geothlypis tolmiei","MacGillivray's Warbler","wǐt","Parulidae","Passeriformes",13.4,7.7,3,3.3,20.9,58.1,13.2,44.5,22.9,52.9,10.4,"Oporornis tolmiei","Oporornis tolmiei","MacGillivray's Warbler","Parulidae","Zapotec",68,"Passeriformes"
"69","Anas platyrhynchos","Mallard","bǎd","Anatidae","Anseriformes",58.5,41,20.8,17.8,40.6,263.4,133.5,129.9,50.7,86.9,843.4,"Anas platyrhynchos","Anas platyrhynchos","Mallard","Anatidae","Zapotec",69,"Anseriformes"
"70","Poecile sclateri","Mexican Chickadee","mguîn̲-pàyâs","Paridae","Passeriformes",10.8,6.9,3.1,4.1,16.8,67.8,11.8,56,17.4,59.2,10.1,"Parus sclateri","Parus sclateri","Mexican Chickadee","Paridae","Zapotec",70,"Passeriformes"
"71","Ara militaris","Military Macaw","měw","Psittacidae","Psittaciformes",56.6,49.3,27.2,57.2,28.8,366.7,151.2,216.8,41.1,366.1,1134,"Ara militaris","Ara militaris","Military Macaw","Psittacidae","Zapotec",71,"Psittaciformes"
"72","Cyrtonyx montezumae","Montezuma Quail","mtǒ","Odontophoridae","Galliformes",15.5,9,7.9,9.3,28.2,117.9,28.4,89.4,24.1,42.6,185.4,"Cyrtonyx montezumae","Cyrtonyx montezumae","Montezuma Quail","Phasianidae","Zapotec",72,"Galliformes"
"73","Ciccaba virgata","Mottled Owl","dǎm̲","Strigidae","Strigiformes",33,17.2,9,16.1,40.6,240.6,50.3,190.3,20.8,149.1,284,"Strix virgata","Ciccaba virgata","Mottled Owl","Strigidae","Zapotec",73,"Strigiformes"
"74","Trogon mexicanus","Mountain Trogon","mèr-dán","Trogonidae","Trogoniformes",20,11.4,9.8,9.8,14.8,147.6,60.3,86.7,41,180.6,71,"Trogon mexicanus","Trogon mexicanus","Mexican Trogon","Trogonidae","Zapotec",74,"Trogoniformes"
"75","Cairina moschata","Muscovy Duck","bǎd","Anatidae","Anseriformes",65.9,38.7,22.6,15.7,56.2,345,124,226.8,35.2,160.2,2415.8,"Cairina moschata","Cairina moschata","Muscovy Duck","Anatidae","Zapotec",75,"Anseriformes"
"76","Leiothlypis ruficapilla","Nashville Warbler","mguîn̲-tsíríic","Parulidae","Passeriformes",11.6,7,2.8,3.5,16.1,56.8,13.3,43.4,23.6,42.4,8.1,"Vermivora ruficapilla","Vermivora ruficapilla","Nashville Warbler","Parulidae","Zapotec",76,"Passeriformes"
